Zipcode,MDFreq,DOFreq,major_city,population,population_density,median_home_value,median_household_income
86338,0,0,Skull Valley,743,3,194600,38264
85051,15,8,Phoenix,40375,6392,108000,38415
85121,0,0,Bapchule,2178,30,62400,38670
85501,28,7,Globe,13345,24,95900,38776
85901,39,22,Show Low,17207,66,150500,38865
85624,0,0,Patagonia,1426,4,247000,38950
85360,0,0,Wikieup,222,0,115400,39063
85545,0,0,Roosevelt,583,1,147500,39063
85364,246,27,Yuma,74904,1899,118900,39102
86429,1,0,Bullhead City,7162,86,188100,39357
85346,1,0,Quartzsite,4423,7,55400,39364
85618,0,0,Mammoth,1725,15,75000,39696
86403,89,21,Lake Havasu City,15802,1577,166200,39751
85135,0,0,Hayden,630,1429,32800,39792
86322,3,1,Camp Verde,11480,30,125600,39803
86314,34,4,Prescott Valley,34401,476,151300,39857
86326,54,15,Cottonwood,23344,431,146800,39953
85602,13,1,Benson,9464,13,128100,39984
85931,0,0,Forest Lakes,207,1,305800,40250
85605,0,0,Bowie,597,2,63300,40357
86018,0,0,Parks,759,8,249100,40536
85043,0,1,Phoenix,30560,1593,99900,40584
85631,0,0,San Manuel,3630,31,83200,41063
85627,0,0,Pomerene,968,56,114500,41094
85541,19,13,Payson,21877,28,191700,41222
85543,0,0,Pima,3822,6,118700,41250
86335,0,0,Rimrock,4806,26,139000,41339
86324,1,0,Clarkdale,4168,25,186900,41355
86334,0,0,Paulden,4985,22,129300,41402
85746,19,5,Tucson,43057,564,105800,41427
86404,2,1,Lake Havasu City,16243,94,182800,41511
85390,16,5,Wickenburg,8621,15,219000,41622
85630,0,0,Saint David,2819,15,147300,41822
85014,62,11,Phoenix,24782,5929,170900,41903
85128,0,0,Coolidge,14823,91,80900,42035
85041,12,3,Phoenix,54947,3462,107900,42204
85710,85,10,Tucson,54439,4508,151900,42204
85356,0,0,Wellton,4539,27,70800,42261
85736,0,0,Tucson,4975,14,99300,42361
85342,0,0,Morristown,1578,3,143000,42375
86426,33,10,Fort Mohave,13863,383,147900,42562
85202,202,30,Mesa,37275,5942,151700,42649
85616,0,0,Huachuca City,5566,42,108500,42734
85204,34,10,Mesa,60885,6147,114100,42768
86323,2,3,Chino Valley,15822,112,163800,42922
85029,19,7,Phoenix,43233,4530,113300,42937
86440,2,0,Mohave Valley,6906,60,114000,43021
85643,2,4,Willcox,9810,5,103600,43465
85302,9,6,Glendale,36909,6048,121600,43477
85013,416,52,Phoenix,19314,5195,181900,43576
86406,1,0,Lake Havasu City,23763,97,214500,43753
85938,3,2,Springerville,2366,6,104700,43864
85123,0,0,Arizona City,10677,402,92400,43996
85940,0,0,Vernon,1443,18,114900,44145
85307,3,1,Glendale,9230,744,105800,44169
85533,0,0,Clifton,2943,3,76400,44250
86303,3,0,Prescott,17082,128,289400,44262
85610,0,0,Elfrida,1333,3,117200,44327
85205,9,4,Mesa,39858,4073,124800,44469
86022,0,0,Fredonia,2210,4,147500,44519
85323,7,4,Avondale,39507,2127,107500,44658
86301,89,33,Prescott,20626,667,195800,44764
85122,59,11,Casa Grande,50942,1018,106600,44910
85929,9,2,Lakeside,8322,138,160100,44989
86329,0,0,Humboldt,1179,32,151000,45053
85539,0,0,Miami,4520,81,73600,45433
85022,12,5,Phoenix,46395,4959,176900,45606
85546,24,7,Safford,19677,29,119000,45662
85206,157,70,Mesa,33154,3470,145400,45680
85345,6,3,Peoria,56208,4307,107100,45886
85707,5,4,Tucson,658,145,NA,45958
86401,49,15,Kingman,24289,22,120700,45971
85020,176,50,Phoenix,32850,3695,167400,46037
85708,0,0,Tucson,2980,2073,NA,46098
85208,10,5,Mesa,34762,3873,111100,46168
85016,765,132,Phoenix,33896,3752,194400,46233
85194,0,0,Casa Grande,6721,89,146000,46250
85203,21,6,Mesa,35541,3880,164800,46588
85119,3,1,Apache Junction,21219,482,111600,46589
85756,3,1,Tucson,35703,526,108700,46672
85730,7,0,Tucson,38323,826,128600,46733
86336,25,2,Sedona,11320,50,412300,46775
85042,19,2,Phoenix,40962,2725,118600,46962
86001,184,47,Flagstaff,40776,46,264200,46991
86327,2,0,Dewey,8858,44,151900,47116
85257,14,5,Scottsdale,26755,4078,177400,47194
85023,50,28,Phoenix,31274,4279,153500,47200
85335,3,2,El Mirage,31787,3179,95600,47237
85614,27,5,Green Valley,21895,161,170200,47329
85375,87,35,Sun City West,27703,1508,183700,47408
85137,1,0,Kearny,2329,11,100100,47569
85544,1,0,Pine,2949,18,246400,47667
85648,2,0,Rio Rico,19080,121,134100,47677
86046,0,0,Williams,6090,4,161400,47694
85037,112,24,Phoenix,44771,5469,99600,47695
85361,0,0,Wittmann,6700,56,162300,47738
86032,0,0,Joseph City,1509,8,102000,47750
85554,0,0,Young,778,1,168400,47845
85193,0,0,Casa Grande,4906,19,85800,47888
86325,5,5,Cornville,5152,86,244900,47932
85132,5,4,Florence,33556,56,106300,48135
85303,0,0,Glendale,30310,4786,114400,48256
85053,21,5,Phoenix,28480,5467,129800,48280
85032,145,37,Phoenix,65485,5272,156100,48461
86045,36,9,Tuba City,11354,8,85600,48809
85374,60,27,Surprise,47146,2899,174800,49093
85251,267,53,Scottsdale,34390,4676,227300,49111
85012,471,114,Phoenix,6390,2912,379200,49226
85745,118,19,Tucson,37006,550,192500,49380
85373,1,0,Sun City,17356,1524,144700,49612
